27,8,0
193.12,193.86,199.09
390.08,397.45,195.17
208.33,208.74,209.99
208.35,208.71,334.99
208.37,208.69,459.99
206.17,333.72,210.01
206.19,333.69,335.01
206.2,333.67,460.01
204,458.7,210.03
204.02,458.67,335.03
204.04,458.65,460.03
333.31,210.9,209.97
333.33,210.88,334.97
333.35,210.85,459.97
331.15,335.88,209.99
331.17,335.86,334.99
331.19,335.84,459.99
328.98,460.86,210.01
329,460.84,335.02
329.02,460.82,460.02
458.29,213.07,209.95
458.31,213.04,334.95
458.33,213.02,459.95
456.13,338.05,209.97
456.15,338.02,334.97
456.17,338,459.97
453.96,463.03,210
453.98,463.01,335
454,462.98,460
210.15,208.36,451.12
211.51,204.82,576.06
212.86,201.27,701
207.06,333.27,454.69
208.42,329.73,579.63
209.77,326.18,704.57
203.98,458.18,458.27
205.33,454.63,583.21
206.68,451.09,708.15
335.11,211.49,449.85
336.46,207.94,574.79
337.81,204.4,699.73
332.02,336.39,453.43
333.37,332.85,578.37
334.73,329.31,703.31
328.93,461.31,457
330.28,457.76,581.94
331.64,454.22,706.88
460.06,214.61,448.59
461.41,211.07,573.53
462.77,207.52,698.47
456.97,339.52,452.17
458.32,335.98,577.11
459.68,332.43,702.04
453.88,464.43,455.74
455.24,460.88,580.68
456.59,457.34,705.62
211.99,449.82,211.99
211.21,452.11,336.96
210.43,454.39,461.94
211.3,574.8,209.7
210.52,577.09,334.67
209.75,579.37,459.65
210.61,699.78,207.41
209.84,702.06,332.38
209.06,704.35,457.36
336.99,450.52,212.75
336.21,452.81,337.73
335.43,455.1,462.7
336.3,575.5,210.46
335.52,577.79,335.44
334.74,580.07,460.41
335.61,700.48,208.18
334.83,702.77,333.15
334.06,705.05,458.12
461.98,451.23,213.52
461.21,453.51,338.49
460.43,455.8,463.47
461.3,576.2,211.23
460.52,578.49,336.2
459.74,580.78,461.18
460.61,701.18,208.94
459.83,703.47,333.92
459.05,705.75,458.89
210.4,451.84,448.32
212.15,451.19,573.31
213.91,450.55,698.3
210.27,576.83,448.97
212.03,576.19,573.96
213.78,575.54,698.94
210.15,701.83,449.62
211.9,701.18,574.6
213.65,700.54,699.59
335.39,451.97,446.57
337.14,451.33,571.56
338.89,450.68,696.54
335.26,576.97,447.22
337.01,576.32,572.2
338.77,575.68,697.19
335.13,701.96,447.86
336.89,701.32,572.85
338.64,700.68,697.84
460.38,452.11,444.82
462.13,451.46,569.8
463.88,450.82,694.79
460.25,577.1,445.46
462,576.46,570.45
463.75,575.82,695.44
460.12,702.1,446.11
461.88,701.46,571.1
463.63,700.81,696.08
450.17,209.05,210.94
447.29,210.49,335.9
444.41,211.92,460.86
453.54,334,209.58
450.66,335.43,334.54
447.78,336.87,459.5
456.92,458.94,208.22
454.04,460.38,333.18
451.16,461.82,458.14
575.09,205.7,213.86
572.21,207.14,338.82
569.33,208.58,463.78
578.47,330.65,212.5
575.58,332.09,337.46
572.7,333.53,462.42
581.84,455.6,211.14
578.96,457.04,336.1
576.08,458.47,461.06
700.01,202.36,216.78
697.13,203.8,341.74
694.25,205.23,466.7
703.39,327.31,215.42
700.5,328.74,340.38
697.62,330.18,465.34
706.76,452.25,214.06
703.88,453.69,339.02
701,455.13,463.98
451.52,209.62,450.97
450.01,211.76,575.94
448.51,213.89,700.92
454.37,334.57,448.87
452.87,336.71,573.84
451.36,338.84,698.82
457.22,459.52,446.77
455.72,461.65,571.74
454.21,463.79,696.72
576.47,206.79,452.52
574.97,208.93,577.5
573.47,211.06,702.47
579.33,331.74,450.42
577.82,333.88,575.4
576.32,336.01,700.37
582.18,456.69,448.32
580.68,458.83,573.3
579.17,460.96,698.27
701.43,203.96,454.08
699.93,206.1,579.05
698.42,208.23,704.02
704.28,328.91,451.98
702.78,331.05,576.95
701.27,333.18,701.92
707.14,453.86,449.88
705.63,456,574.85
704.13,458.13,699.82
449.58,448.68,211.4
450.88,446.99,336.39
452.19,445.3,461.37
447.18,573.64,213.12
448.48,571.95,338.1
449.79,570.26,463.08
444.78,698.61,214.83
446.08,696.92,339.81
447.39,695.23,464.8
574.55,451.09,210.13
575.85,449.4,335.11
577.16,447.71,460.09
572.15,576.06,211.84
573.45,574.37,336.82
574.76,572.68,461.81
569.75,701.02,213.55
571.06,699.34,338.54
572.36,697.65,463.52
699.52,453.51,208.85
700.82,451.82,333.83
702.13,450.13,458.82
697.12,578.47,210.56
698.42,576.79,335.55
699.73,575.1,460.53
694.72,703.44,212.28
696.02,701.75,337.26
697.33,700.06,462.24
448.29,448.92,448.23
451.13,451.73,573.17
453.97,454.54,698.1
450.63,573.87,445.37
453.47,576.68,570.3
456.32,579.49,695.24
452.97,698.81,442.51
455.82,701.62,567.44
458.66,704.43,692.38
573.24,446.52,445.44
576.08,449.33,570.38
578.92,452.14,695.31
575.58,571.46,442.58
578.42,574.27,567.52
581.26,577.08,692.45
577.92,696.41,439.72
580.76,699.22,564.65
583.61,702.03,689.59
698.18,444.11,442.65
701.03,446.92,567.59
703.87,449.73,692.52
700.53,569.05,439.79
703.37,571.87,564.73
706.21,574.68,689.66
702.87,694,436.93
705.71,696.81,561.87
708.55,699.62,686.8
